,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
379,ROOFTOP,"26 Fort Charles Pl, The Bronx, NY 10463, USA",ChIJqWRjHJPzwokRy4SLpB56yvo,"26 FORT CHARLES PLACE, Inwood, Manhattan, NY, USA",40.8758285,-73.910478,1,10463,OK,street_address
380,ROOFTOP,"9 Post Ave, New York, NY 10034, USA",ChIJhd-TKwb0wokRN0HIaOyf7KY,"9 POST AVENUE, Inwood, Manhattan, NY, USA",40.862537,-73.92452999999999,1,10034,OK,street_address
381,ROOFTOP,"278 Nagle Ave, New York, NY 10034, USA",ChIJORh3wgn0wokRNicqd9Xctmk,"278 NAGLE AVENUE, 1C, Inwood, Manhattan, NY, USA",40.8636267,-73.9198888,2,10034,OK,street_address
382,ROOFTOP,"590 W 204th St, New York, NY 10034, USA",ChIJ-wp5KAj0wokR4hkFupcMURc,"590 WEST 204 STREET, Inwood, Manhattan, NY, USA",40.864728,-73.922004,1,10034,OK,street_address
383,ROOFTOP,"517 W 212th St, New York, NY 10034, USA",ChIJW6cnEfTzwokR8Jk5eH3Xcsk,"517 WEST 212TH STREET, Inwood, Manhattan, NY, USA",40.8682512,-73.9174737,1,10034,OK,premise
384,ROOFTOP,"429 11th Ave, New York, NY 10001, USA",ChIJBdPBg2P2wokRg96tvVaRWLE,"451 WEST 36TH STREET, Javits Center, Manhattan, NY, USA",40.7570157,-74.0012677,1,10001,OK,"establishment,point_of_interest"
385,ROOFTOP,"429 11th Ave, New York, NY 10001, USA",ChIJBdPBg2P2wokRg96tvVaRWLE,"493-495 NINTH AVENUE, Javits Center, Manhattan, NY, USA",40.7570157,-74.0012677,1,10001,OK,"establishment,point_of_interest"
386,ROOFTOP,"537 9th Ave, New York, NY 10018, USA",ChIJMahKsFJYwokRg9j4aluNSHM,"537 9 AVENUE, Javits Center, Manhattan, NY, USA",40.7570901,-73.99386679999999,2,10018,OK,premise
387,ROOFTOP,"343 E 18th St, New York, NY 10003, USA",ChIJvQYDOXVZwokRMZT1mNw1628,"343 EAST 18TH ST, Kips Bay, Manhattan, NY, USA",40.7343043,-73.981343,1,10003,OK,premise
388,ROOFTOP,"304 E 18th St, New York, NY 10003, USA",ChIJywJmWXVZwokRjA300G81LpM,"304 EAST 18TH STREET, Kips Bay, Manhattan, NY, USA",40.7344301,-73.98271,1,10003,OK,premise
389,ROOFTOP,"345 E 33rd St, New York, NY 10016, USA",ChIJGR2geQ9ZwokRhuxBdp8ccUE,"345 EAST 33RD STREET, Kips Bay, Manhattan, NY, USA",40.7435359,-73.9744782,1,10016,OK,premise
390,ROOFTOP,"301 1st Avenue, New York, NY 10003, USA",ChIJBUuYFHVZwokRO0vrdDC_YiA,"301 1 AVENUE, Kips Bay, Manhattan, NY, USA",40.7336,-73.981431,1,10003,OK,street_address
391,ROOFTOP,"1 Centre Market Pl, New York, NY 10013, USA",ChIJeyCqrIlZwokRzfuYZDILAFo,"1 CENTRE MARKET PLACE, Little Italy, Manhattan, NY, USA",40.7198065,-73.99772899999999,1,10013,OK,premise
392,ROOFTOP,"38 Prince St, New York, NY 10012, USA",ChIJ6Xp3Wo9ZwokRYCu7SbHwQho,"38 PRINCE STREET, Little Italy, Manhattan, NY, USA",40.72287600000001,-73.99525899999999,1,10012,OK,street_address
393,ROOFTOP,"172 Elizabeth St, New York, NY 10012, USA",ChIJGZuLH4ZZwokRoFkQSlupJrg,"172 ELIZABETH STREET, Little Italy, Manhattan, NY, USA",40.72099010000001,-73.9947225,1,10012,OK,street_address
394,ROOFTOP,"247 Mulberry St, New York, NY 10012, USA",ChIJzxmxR49ZwokRe556eDcUfCY,"247 MULBERRY STREET, Little Italy, Manhattan, NY, USA",40.7230751,-73.9960648,1,10012,OK,premise
395,ROOFTOP,"51 Spring St, New York, NY 10012, USA",ChIJxRTVy4hZwokRuMH_oVj2gQg,"51 SPRING STREET, Little Italy, Manhattan, NY, USA",40.7221166,-73.9963862,1,10012,OK,premise
396,ROOFTOP,"149 Rivington St, New York, NY 10002, USA",ChIJS_ewp4FZwokROp-ZKWVDVGM,"149 RIVINGTON STREET, Lower East Side, Manhattan, NY, USA",40.7191962,-73.98578619999999,1,10002,OK,premise
397,ROOFTOP,"110 Madison St, New York, NY 10002, USA",ChIJ1fuw_iVawokRL5CAiGDwNaA,"110 MADISON STREET, Lower East Side, Manhattan, NY, USA",40.71197189999999,-73.9950574,1,10002,OK,premise
398,ROOFTOP,"121 Norfolk St, New York, NY 10002, USA",ChIJhYN7IoFZwokRRJpV-bpofUk,"121 NORFOLK STREET, Lower East Side, Manhattan, NY, USA",40.7193978,-73.9870203,1,10002,OK,premise
399,RANGE_INTERPOLATED,"137 Rivington St, New York, NY 10002, USA",EikxMzcgUml2aW5ndG9uIFN0LCBOZXcgWW9yaywgTlkgMTAwMDIsIFVTQSIbEhkKFAoSCb3zBgyBWcKJET8kICd0r7vxEIkB,"137 RIVINGTON STREET, Lower East Side, Manhattan, NY, USA",40.7192985,-73.9864509,1,10002,OK,street_address
400,ROOFTOP,"249 Broome St, New York, NY 10002, USA",ChIJyaSzOIdZwokRgZ58XfxZmoY,"249 BROOME STREET, Lower East Side, Manhattan, NY, USA",40.7178541,-73.98996269999999,1,10002,OK,premise
401,ROOFTOP,"122 Ludlow St, New York, NY 10002, USA",ChIJd0YeMYFZwokRv6wbFaXVDzI,"122 LUDLOW STREET, Lower East Side, Manhattan, NY, USA",40.7196328,-73.9883579,1,10002,OK,premise
